Timestamp,Rate your interest in the following activities/topics [Working with children],Rate your interest in the following activities/topics [Nature and outdoors],Rate your interest in the following activities/topics [How people think],Rate your interest in the following activities/topics [Design and style],Rate your interest in the following activities/topics [Helping others],Rate your interest in the following activities/topics [Gadgets and experiments],Rate your interest in the following activities/topics [Animals],Rate your interest in the following activities/topics [Puzzles and problem solving],Rate your interest in the following activities/topics [Media and current events],Rate your interest in the following activities/topics [Working with hands],Rate your interest in the following activities/topics [Entertainment],Rate your interest in the following activities/topics [Social issues],Rate your interest in the following activities/topics [Writing],Rate your interest in the following majors [Communications],Rate your interest in the following majors [Music],Rate your interest in the following majors [Media Arts and Technology],Rate your interest in the following majors [Education],Rate your interest in the following majors [Sociology],Rate your interest in the following majors [Counseling],Rate your interest in the following majors [Psychology],Rate your interest in the following majors [Anthropology],Rate your interest in the following majors [History],Rate your interest in the following majors [Art],Rate your interest in the following majors [Art History],Rate your interest in the following majors [Theater],Rate your interest in the following majors [Dance],Rate your interest in the following majors [Biology],Rate your interest in the following majors [Literature],Rate your interest in the following majors [Computer Science],Rate your interest in the following majors [Environmental Science],Rate your interest in the following majors [Physics],Rate your interest in the following majors [Athletics],Rate your interest in the following majors [Architecture],Rate your interest in the following majors [Marine Science],Rate your interest in the following majors [Earth Sciences],Rate your interest in the following majors [Marine Biology],Rate your interest in the following majors [Ethnic Studies],Rate your interest in the following majors [Chemistry]
6/12/2017 2:20:56,Somewhat interested,Neutral,Somewhat interested,Neutral,Somewhat interested,Neutral,Somewhat interested,Very interested,Neutral,Not very interested,Neutral,Somewhat interested,Neutral,Neutral,Somewhat interested,Somewhat interested,Not very interested,Neutral,Not very interested,Somewhat interested,Neutral,Somewhat interested,Not very interested,Not very interested,Not very interested,Not interested at all,Neutral,Not interested at all,Very interested,Neutral,Neutral,Not interested at all,Neutral,Not very interested,Not very interested,Neutral,Not interested at all,Somewhat interested
6/12/2017 12:36:08,Somewhat interested,Somewhat interested,Neutral,Neutral,Somewhat interested,Very interested,Somewhat interested,Very interested,Neutral,Somewhat interested,Not very interested,Neutral,Not very interested,Not interested at all,Somewhat interested,Neutral,Very interested,Neutral,Not very interested,Not very interested,Neutral,Neutral,Not interested at all,Not interested at all,Not interested at all,Not interested at all,Not very interested,Not interested at all,Very interested,Neutral,Somewhat interested,Not interested at all,Not interested at all,Neutral,Not interested at all,Neutral,Neutral,Somewhat interested
6/12/2017 13:10:14,Not very interested,Very interested,Somewhat interested,Not very interested,Neutral,Very interested,Neutral,Very interested,Not very interested,Somewhat interested,Neutral,Not interested at all,Not interested at all,Not interested at all,Not very interested,Neutral,Not very interested,Not very interested,Not very interested,Somewhat interested,Not very interested,Not very interested,Neutral,Not very interested,Not very interested,Not interested at all,Somewhat interested,Not interested at all,Somewhat interested,Somewhat interested,Somewhat interested,Not interested at all,Neutral,Somewhat interested,Somewhat interested,Somewhat interested,Not interested at all,Very interested
6/13/2017 19:11:58,Somewhat interested,Somewhat interested,Somewhat interested,Not very interested,Somewhat interested,Very interested,Very interested,Very interested,Not interested at all,Not very interested,Very interested,Somewhat interested,Not very interested,Not interested at all,Not interested at all,Somewhat interested,Somewhat interested,Not interested at all,Neutral,Neutral,Not interested at all,Not interested at all,Not interested at all,Not interested at all,Not interested at all,Not interested at all,Very interested,Neutral,Very interested,Somewhat interested,Not interested at all,Somewhat interested,Not interested at all,Somewhat interested,Not interested at all,Somewhat interested,Not interested at all,Somewhat interested
6/13/2017 19:16:46,Neutral,Very interested,Neutral,Somewhat interested,Neutral,Somewhat interested,Very interested,Very interested,Not interested at all,Somewhat interested,Very interested,Not interested at all,Not interested at all,Not interested at all,Somewhat interested,Somewhat interested,Not very interested,Not interested at all,Not interested at all,Not interested at all,Not interested at all,Not interested at all,Somewhat interested,Not interested at all,Very interested,Somewhat interested,Very interested,Not interested at all,Very interested,Neutral,Not very interested,Not interested at all,Not very interested,Somewhat interested,Neutral,Somewhat interested,Not interested at all,Neutral
6/14/2017 9:40:12,Somewhat interested,Neutral,Very interested,Somewhat interested,Somewhat interested,Very interested,Somewhat interested,Very interested,Neutral,Neutral,Neutral,Somewhat interested,Neutral,Somewhat interested,Somewhat interested,Somewhat interested,Neutral,Neutral,Somewhat interested,Somewhat interested,Not very interested,Neutral,Very interested,Not very interested,Somewhat interested,Not very interested,Somewhat interested,Not very interested,Very interested,Neutral,Not very interested,Somewhat interested,Not very interested,Not very interested,Not very interested,Not very interested,Neutral,Somewhat interested
6/14/2017 10:09:57,Somewhat interested,Very interested,Somewhat interested,Somewhat interested,Very interested,Very interested,Somewhat interested,Very interested,Somewhat interested,Very interested,Neutral,Somewhat interested,Not very interested,Not very interested,Not very interested,Neutral,Somewhat interested,Not very interested,Neutral,Neutral,Neutral,Not very interested,Neutral,Neutral,Neutral,Neutral,Somewhat interested,Not very interested,Somewhat interested,Very interested,Somewhat interested,Neutral,Somewhat interested,Somewhat interested,Somewhat interested,Somewhat interested,Neutral,Somewhat interested
6/14/2017 10:21:38,Somewhat interested,Somewhat interested,Somewhat interested,Not very interested,Somewhat interested,Very interested,Not very interested,Very interested,Somewhat interested,Somewhat interested,Not very interested,Somewhat interested,Not very interested,Somewhat interested,Not interested at all,Somewhat interested,Somewhat interested,Not very interested,Somewhat interested,Not very interested,Not very interested,Not very interested,Not very interested,Not interested at all,Not interested at all,Not interested at all,Somewhat interested,Not very interested,Very interested,Somewhat interested,Somewhat interested,Not interested at all,Not interested at all,Not interested at all,Not interested at all,Not interested at all,Not interested at all,Not interested at all
6/14/2017 10:27:32,Somewhat interested,Somewhat interested,Somewhat interested,Somewhat interested,Somewhat interested,Somewhat interested,Neutral,Very interested,Somewhat interested,Neutral,Neutral,Somewhat interested,Somewhat interested,Neutral,Neutral,Neutral,Somewhat interested,Not very interested,Neutral,Somewhat interested,Neutral,Not very interested,Not very interested,Not very interested,Neutral,Neutral,Neutral,Not very interested,Neutral,Very interested,Somewhat interested,Not very interested,Not very interested,Neutral,Somewhat interested,Neutral,Neutral,Neutral
6/14/2017 10:27:38,Somewhat interested,Very interested,Very interested,Very interested,Very interested,Very interested,Somewhat interested,Very interested,Very interested,Very interested,Somewhat interested,Very interested,Somewhat interested,Not very interested,Somewhat interested,Somewhat interested,Somewhat interested,Not very interested,Not very interested,Not very interested,Not interested at all,Not very interested,Somewhat interested,Not interested at all,Not interested at all,Not interested at all,Not interested at all,Not very interested,Somewhat interested,Somewhat interested,Somewhat interested,Not very interested,Very interested,Not interested at all,Not interested at all,Not interested at all,Not interested at all,Somewhat interested
6/14/2017 11:01:30,Very interested,Very interested,Somewhat interested,Very interested,Very interested,Very interested,Somewhat interested,Very interested,Somewhat interested,Somewhat interested,Very interested,Very interested,Somewhat interested,Very interested,Somewhat interested,Very interested,Very interested,Somewhat interested,Somewhat interested,Somewhat interested,Very interested,Very interested,Somewhat interested,Somewhat interested,Somewhat interested,Somewhat interested,Somewhat interested,Somewhat interested,Somewhat interested,Very interested,Very interested,Somewhat interested,Very interested,Somewhat interested,Very interested,Somewhat interested,Neutral,Somewhat interested
6/14/2017 11:06:04,Not interested at all,Neutral,Neutral,Not very interested,Somewhat interested,Very interested,Somewhat interested,Very interested,Somewhat interested,Very interested,Very interested,Somewhat interested,Not very interested,Not very interested,Not very interested,Somewhat interested,Somewhat interested,Neutral,Not very interested,Not very interested,Not very interested,Not interested at all,Not interested at all,Not interested at all,Somewhat interested,Not very interested,Not interested at all,Not very interested,Very interested,Very interested,Very interested,Not very interested,Very interested,Very interested,Very interested,Very interested,Somewhat interested,Very interested
6/14/2017 11:19:57,Somewhat interested,Somewhat interested,Somewhat interested,Very interested,Very interested,Neutral,Somewhat interested,Neutral,Very interested,Somewhat interested,Not very interested,Somewhat interested,Not very interested,Neutral,Neutral,Somewhat interested,Neutral,Neutral,Somewhat interested,Somewhat interested,Somewhat interested,Somewhat interested,Somewhat interested,Somewhat interested,Somewhat interested,Not interested at all,Neutral,Somewhat interested,Very interested,Very interested,Neutral,Somewhat interested,Somewhat interested,Neutral,Somewhat interested,Neutral,Neutral,Not very interested
6/14/2017 12:44:26,Very interested,Very interested,Very interested,Very interested,Very interested,Somewhat interested,Somewhat interested,Very interested,Somewhat interested,Very interested,Very interested,Very interested,Somewhat interested,Somewhat interested,Neutral,Somewhat interested,Very interested,Neutral,Somewhat interested,Neutral,Neutral,Somewhat interested,Somewhat interested,Somewhat interested,Very interested,Somewhat interested,Somewhat interested,Somewhat interested,Neutral,Very interested,Somewhat interested,Somewhat interested,Somewhat interested,Somewhat interested,Neutral,Somewhat interested,Neutral,Very interested
6/14/2017 13:26:34,Neutral,Somewhat interested,Somewhat interested,Somewhat interested,Somewhat interested,Neutral,Very interested,Somewhat interested,Somewhat interested,Somewhat interested,Somewhat interested,Neutral,Not very interested,Somewhat interested,Somewhat interested,Somewhat interested,Neutral,Neutral,Somewhat interested,Somewhat interested,Neutral,Somewhat interested,Somewhat interested,Neutral,Somewhat interested,Somewhat interested,Neutral,Neutral,Somewhat interested,Somewhat interested,Somewhat interested,Somewhat interested,Somewhat interested,Not very interested,Not very interested,Somewhat interested,Somewhat interested,Not very interested
6/14/2017 13:37:48,Somewhat interested,Somewhat interested,Neutral,Somewhat interested,Somewhat interested,Somewhat interested,Somewhat interested,Somewhat interested,Somewhat interested,Somewhat interested,Somewhat interested,Somewhat interested,Neutral,Not very interested,Somewhat interested,Somewhat interested,Somewhat interested,Not very interested,Not very interested,Somewhat interested,Not very interested,Not very interested,Not very interested,Not very interested,Not very interested,Not very interested,Somewhat interested,Not very interested,Somewhat interested,Somewhat interested,Somewhat interested,Not very interested,Somewhat interested,Not very interested,Not very interested,Not very interested,Somewhat interested,Somewhat interested